parameter,fold_change,value,unit,Arg_e_gL
Vmax_export,0.1,0.0012000000000000001,umol/min/mg,0.0022849339356584815
Vmax_export,0.25,0.003,umol/min/mg,0.0056280445580504735
Vmax_export,0.5,0.006,umol/min/mg,0.010982039634759145
Vmax_export,0.75,0.009000000000000001,umol/min/mg,0.016074617354038107
Vmax_export,1.0,0.012,umol/min/mg,0.020917897666740758
Vmax_export,1.5,0.018000000000000002,umol/min/mg,0.029902569573331896
Vmax_export,2.0,0.024,umol/min/mg,0.03802331177723863
Vmax_export,3.0,0.036000000000000004,umol/min/mg,0.05198613718124178
Vmax_export,4.0,0.048,umol/min/mg,0.06336738523433569
Vmax_export,5.0,0.06,umol/min/mg,0.07263383890602246
Km_export_Arg,0.1,2.0,mM,0.09490236287913345
Km_export_Arg,0.25,5.0,mM,0.06083092560283597
Km_export_Arg,0.5,10.0,mM,0.037256468231244386
Km_export_Arg,0.75,15.0,mM,0.026797951174900195
Km_export_Arg,1.0,20.0,mM,0.020917897666740758
Km_export_Arg,1.5,30.0,mM,0.014535474145153701
Km_export_Arg,2.0,40.0,mM,0.01113666002160282
Km_export_Arg,3.0,60.0,mM,0.007587803417759767
Km_export_Arg,4.0,80.0,mM,0.005754096559618089
Km_export_Arg,5.0,100.0,mM,0.004634163542684576
