Vmax_fold,Km_fold,Vmax_value_umol_min_mg,Km_value_mM,Arg_e_gL
0.1,0.1,0.0012000000000000001,2.0,0.01699604442797848
0.1,0.25,0.0012000000000000001,5.0,0.00817488272513916
0.1,0.5,0.0012000000000000001,10.0,0.004394961838963604
0.1,0.75,0.0012000000000000001,15.0,0.0030065285635447847
0.1,1.0,0.0012000000000000001,20.0,0.0022849339356584815
0.1,1.5,0.0012000000000000001,30.0,0.0015439460018035853
0.1,2.0,0.0012000000000000001,40.0,0.0011658911825758065
0.1,3.0,0.0012000000000000001,60.0,0.0007826338917078135
0.1,4.0,0.0012000000000000001,80.0,0.0005890148607005662
0.1,5.0,0.0012000000000000001,100.0,0.0004721972007569443
0.25,0.1,0.003,2.0,0.03861835740011832
0.25,0.25,0.003,5.0,0.019441569690924046
0.25,0.5,0.003,10.0,0.010684709415684288
0.25,0.75,0.003,15.0,0.007371884017567096
0.25,1.0,0.003,20.0,0.0056280445580504735
0.25,1.5,0.003,30.0,0.0038209640209581346
0.25,2.0,0.003,40.0,0.002892422104303182
0.25,3.0,0.003,60.0,0.0019464764395932753
0.25,4.0,0.003,80.0,0.0014667951749050368
0.25,5.0,0.003,100.0,0.0011767963262954888
0.5,0.1,0.006,2.0,0.06557245790119998
0.5,0.25,0.006,5.0,0.03579165934954597
0.5,0.5,0.006,10.0,0.020404074663251365
0.5,0.75,0.006,15.0,0.014277429515459223
0.5,1.0,0.006,20.0,0.010982039634759145
0.5,1.5,0.006,30.0,0.00751448618946368
0.5,2.0,0.006,40.0,0.0057114722214172305
0.5,3.0,0.006,60.0,0.003859562026145186
0.5,4.0,0.006,80.0,0.0029145812676038755
0.5,5.0,0.006,100.0,0.0023413382791352072
0.75,0.1,0.009000000000000001,2.0,0.08347140029710168
0.75,0.25,0.009000000000000001,5.0,0.0494611106326285
0.75,0.5,0.009000000000000001,10.0,0.029236743552764177
0.75,0.75,0.009000000000000001,15.0,0.02074408758540134
0.75,1.0,0.009000000000000001,20.0,0.016074617354038107
0.75,1.5,0.009000000000000001,30.0,0.011084664084859391
0.75,2.0,0.009000000000000001,40.0,0.008458961739518728
0.75,3.0,0.009000000000000001,60.0,0.005739819732731751
0.75,4.0,0.009000000000000001,80.0,0.004343601622319324
0.75,5.0,0.009000000000000001,100.0,0.0034937522966764817
1.0,0.1,0.012,2.0,0.09490236287913345
1.0,0.25,0.012,5.0,0.06083092560283597
1.0,0.5,0.012,10.0,0.037256468231244386
1.0,0.75,0.012,15.0,0.026797951174900195
1.0,1.0,0.012,20.0,0.020917897666740758
1.0,1.5,0.012,30.0,0.014535474145153701
1.0,2.0,0.012,40.0,0.01113666002160282
1.0,3.0,0.012,60.0,0.007587803417759767
1.0,4.0,0.012,80.0,0.005754096559618089
1.0,5.0,0.012,100.0,0.004634163542684576
1.5,0.1,0.018000000000000002,2.0,0.10633904813975469
1.5,0.25,0.018000000000000002,5.0,0.07801440613349106
1.5,0.5,0.018000000000000002,10.0,0.051127895218550025
1.5,0.75,0.018000000000000002,15.0,0.03776509094765217
1.5,1.0,0.018000000000000002,20.0,0.029902569573331896
1.5,1.5,0.018000000000000002,30.0,0.021094308045670418
1.5,2.0,0.018000000000000002,40.0,0.016289555219228927
1.5,3.0,0.018000000000000002,60.0,0.011189119387896188
1.5,4.0,0.018000000000000002,80.0,0.008520456556256982
1.5,5.0,0.018000000000000002,100.0,0.006879472076199654
2.0,0.1,0.024,2.0,0.110534414248721
2.0,0.25,0.024,5.0,0.08964432487552831
2.0,0.5,0.024,10.0,0.06251317586009003
2.0,0.75,0.024,15.0,0.04736184817126682
2.0,1.0,0.024,20.0,0.03802331177723863
2.0,1.5,0.024,30.0,0.027220485340057058
2.0,2.0,0.024,40.0,0.021183503796801794
2.0,3.0,0.024,60.0,0.014667763577058074
2.0,4.0,0.024,80.0,0.011215524674475806
2.0,5.0,0.024,100.0,0.009078240162373042
3.0,0.1,0.036000000000000004,2.0,0.11261375446788212
3.0,0.25,0.036000000000000004,5.0,0.10263700886717134
3.0,0.5,0.036000000000000004,10.0,0.0794555224321362
3.0,0.75,0.036000000000000004,15.0,0.06308174106643265
3.0,1.0,0.036000000000000004,20.0,0.05198613718124178
3.0,1.5,0.036000000000000004,30.0,0.038284165094578014
3.0,2.0,0.036000000000000004,40.0,0.030244871219945443
3.0,3.0,0.036000000000000004,60.0,0.021273368277215703
3.0,4.0,0.036000000000000004,80.0,0.016399009182495684
3.0,5.0,0.036000000000000004,100.0,0.013339962393037853
4.0,0.1,0.048,2.0,0.11292082890510184
4.0,0.25,0.048,5.0,0.1083746413211969
4.0,0.5,0.048,10.0,0.09074143802631279
4.0,0.75,0.048,15.0,0.07506411575338393
4.0,1.0,0.048,20.0,0.06336738523433569
4.0,1.5,0.048,30.0,0.04792893234224633
4.0,2.0,0.048,40.0,0.038415584887852405
4.0,3.0,0.048,60.0,0.027435971498139686
4.0,4.0,0.048,80.0,0.021318553269310245
4.0,5.0,0.048,100.0,0.017426754783770433
5.0,0.1,0.06,2.0,0.11298845940017781
5.0,0.25,0.06,5.0,0.11089799113218667
5.0,0.5,0.06,10.0,0.0982269275944185
5.0,0.75,0.06,15.0,0.08417831441106116
5.0,1.0,0.06,20.0,0.07263383890602246
5.0,1.5,0.06,30.0,0.05633319907473957
5.0,2.0,0.06,40.0,0.045781727386224096
5.0,3.0,0.06,60.0,0.03318491934198668
5.0,4.0,0.06,80.0,0.025987471833709468
5.0,5.0,0.06,100.0,0.021345745603903125
