label,D_med,n2_req_lac,flag_lac,n2_req_nh4,flag_nh4,n2_req_binding,binding,ratio_lac,ratio_nh4,S_target_lac,S_target_nh4
S_ss = 1.5 x S_ref,0.0,167.0237810244571,balance_ok,71.93179811536582,balance_ok,167.0237810244571,lac,474.176076040362,204.21246342086596,15.0,2.25
S_ss = 1.5 x S_ref,0.05,0.0,perfusion_handles_all,16.480212446820214,balance_ok,16.480212446820214,nh4,0.0,46.78688521127701,15.0,2.25
S_ss = 1.5 x S_ref,0.1,0.0,perfusion_handles_all,0.0,perfusion_handles_all,0.0,lac,0.0,0.0,15.0,2.25
S_ss = 1.5 x S_ref,0.15000000000000002,0.0,perfusion_handles_all,0.0,perfusion_handles_all,0.0,lac,0.0,0.0,15.0,2.25
S_ss = 1.5 x S_ref,0.2,0.0,perfusion_handles_all,0.0,perfusion_handles_all,0.0,lac,0.0,0.0,15.0,2.25
S_ss = 1.5 x S_ref,0.25,0.0,perfusion_handles_all,0.0,perfusion_handles_all,0.0,lac,0.0,0.0,15.0,2.25
S_ss = 1.5 x S_ref,0.30000000000000004,0.0,perfusion_handles_all,0.0,perfusion_handles_all,0.0,lac,0.0,0.0,15.0,2.25
S_ss = 1.5 x S_ref,0.35000000000000003,0.0,perfusion_handles_all,0.0,perfusion_handles_all,0.0,lac,0.0,0.0,15.0,2.25
S_ss = 1.5 x S_ref,0.4,0.0,perfusion_handles_all,0.0,perfusion_handles_all,0.0,lac,0.0,0.0,15.0,2.25
S_ss = 1.5 x S_ref,0.45,0.0,perfusion_handles_all,0.0,perfusion_handles_all,0.0,lac,0.0,0.0,15.0,2.25
S_ss = 1.5 x S_ref,0.5,0.0,perfusion_handles_all,0.0,perfusion_handles_all,0.0,lac,0.0,0.0,15.0,2.25
S_ss = 1.5 x S_ref,0.55,0.0,perfusion_handles_all,0.0,perfusion_handles_all,0.0,lac,0.0,0.0,15.0,2.25
S_ss = 1.5 x S_ref,0.6000000000000001,0.0,perfusion_handles_all,0.0,perfusion_handles_all,0.0,lac,0.0,0.0,15.0,2.25
S_ss = 1.5 x S_ref,0.65,0.0,perfusion_handles_all,0.0,perfusion_handles_all,0.0,lac,0.0,0.0,15.0,2.25
S_ss = 1.5 x S_ref,0.7000000000000001,0.0,perfusion_handles_all,0.0,perfusion_handles_all,0.0,lac,0.0,0.0,15.0,2.25
S_ss = 1.5 x S_ref,0.75,0.0,perfusion_handles_all,0.0,perfusion_handles_all,0.0,lac,0.0,0.0,15.0,2.25
S_ss = 1.5 x S_ref,0.8,0.0,perfusion_handles_all,0.0,perfusion_handles_all,0.0,lac,0.0,0.0,15.0,2.25
S_ss = 1.5 x S_ref,0.8500000000000001,0.0,perfusion_handles_all,0.0,perfusion_handles_all,0.0,lac,0.0,0.0,15.0,2.25
S_ss = 1.5 x S_ref,0.9,0.0,perfusion_handles_all,0.0,perfusion_handles_all,0.0,lac,0.0,0.0,15.0,2.25
S_ss = 1.5 x S_ref,0.9500000000000001,0.0,perfusion_handles_all,0.0,perfusion_handles_all,0.0,lac,0.0,0.0,15.0,2.25
S_ss = 1.5 x S_ref,1.0,0.0,perfusion_handles_all,0.0,perfusion_handles_all,0.0,lac,0.0,0.0,15.0,2.25
S_ss = 1.25 x S_ref,0.0,167.0237810244571,balance_ok,71.93179811536582,balance_ok,167.0237810244571,lac,474.176076040362,204.21246342086596,12.5,1.875
